date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:33:32	2993/2993	---MCZ	200	added ('OK')	text/html	date:Tue,%2009%20Jan%202018%2015:18:01%20GMT	https://colorlib.com/etc/lf/Login_v2/index.html	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/index.html	(from )
12:33:32	78/78	---MCZ	200	added ('OK')	text/plain	etag:W/%225fc9ffa6-62%22	https://colorlib.com/robots.txt		(from )
12:33:32	32038/32038	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2256a0a8bc-7d26%22	https://colorlib.com/etc/lf/Login_v2/images/icons/favicon.ico	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/images/icons/favicon.ico	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:32	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%22598cab5c-1e822%22	https://colorlib.com/etc/lf/Login_v2/vendor/bootstrap/css/bootstrap.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/bootstrap/css/bootstrap.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:33	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2259244aaa-7918%22	https://colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:33	70815/70815	---MCZ	200	added ('OK')	text/css	etag:W/%22563f1ae6-1149f%22	https://colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/fonts/iconic/css/material-design-iconic-font.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:33	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%2259a7deb2-5d28%22	https://colorlib.com/etc/lf/Login_v2/vendor/animate/animate.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/animate/animate.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:33	19686/19686	---MCZ	200	added ('OK')	text/css	etag:W/%225994a0f0-4ce6%22	https://colorlib.com/etc/lf/Login_v2/vendor/css-hamburgers/hamburgers.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/css-hamburgers/hamburgers.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:34	27478/27478	---MCZ	200	added ('OK')	text/css	etag:W/%22598ea68a-6b56%22	https://colorlib.com/etc/lf/Login_v2/vendor/animsition/css/animsition.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/animsition/css/animsition.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:34	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%22599dcef6-3b5c%22	https://colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:34	6228/6228	---MCZ	200	added ('OK')	text/css	etag:W/%22598a0c6e-1fe3%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:34	70790/70790	---MCZ	200	added ('OK')	text/css	etag:W/%225a312ea0-1531e%22	https://colorlib.com/etc/lf/Login_v2/css/util.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/css/util.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:34	7247/7247	---MCZ	200	added ('OK')	text/css	etag:W/%225a3a15ae-28a1%22	https://colorlib.com/etc/lf/Login_v2/css/main.css	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/css/main.css	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:35	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%22597b02c0-15283%22	https://colorlib.com/etc/lf/Login_v2/vendor/jquery/jquery-3.2.1.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/jquery/jquery-3.2.1.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:35	5615/5615	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598ea68a-15ef%22	https://colorlib.com/etc/lf/Login_v2/vendor/animsition/js/animsition.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/animsition/js/animsition.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:35	34239/34239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259cbcad4-13f06%22	https://colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/popper.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/popper.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598cab2a-c7c7%22	https://colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/bootstrap.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/bootstrap/js/bootstrap.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599dcf04-10468%22	https://colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/select2/select2.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%22598a0c6e-b635%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:36	41282/41282	---MCZ	200	added ('OK')	application/javascript	etag:W/%22599eb8c6-11090%22	https://colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:37	934/934	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a045954-53c%22	https://colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/vendor/countdowntime/countdowntime.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
12:33:37	1401/1401	---MCZ	200	added ('OK')	application/javascript	etag:W/%225a3a1920-99e%22	https://colorlib.com/etc/lf/Login_v2/js/main.js	C:/Users/nasse/OneDrive/Bureau/projet%20JS/agency-template/LoginTemplate/colorlib.com/etc/lf/Login_v2/js/main.js	(from https://colorlib.com/etc/lf/Login_v2/index.html)
